Description,Ticker,Ticker2
Gnosis,GNOUSD,GNO
Foam,FOAMUSD,FOAM
Bytes,GBYTEUSD,GBYTE
Swipe,SXPUSD,SXP
pToken,XPNTUSD,XPNT
Axie,AXSUSD,AXS
Refereum,RFRUSD,RFR
Terra,KRTUSD,KRT
Ubique,UCTUSD,UCT
Electroneum,ETNUSD,ETN
Suretly,SURUSD,SUR
CTSI,CTSIUSD,CTSI
Enzyme,MLNUSD,MLN
SHIBA,SHIBUSD,SHIB
DeFiScale,DFCUSD,DFC
BeeChat,CHATUSD,CHAT
Steem,SBDUSD,SBD
BAKE,BAKEUSD,BAKE
Tokenville,TVUSD,TV
Celo,CELOUSD,CELO
Swarm,SWMUSD,SWM
FLO,FLOUSD,FLO
YIELD,YLDUSD,YLD
Viberate,VIBUSD,VIB
PlayChip,PLAUSD,PLA
GXChain,GXSUSD,GXS
Vitae,VITAEUSD,VITAE
Haven,XHVUSD,XHV
Beta,BETAUSD,BETA
IoTeX,IOTXUSD,IOTX
Amp,AMPUSD,AMP
Decentraland,MANAUSD,MANA
Siacoin,SCUSD,SC
Gas,GASUSD,GAS
VeriCoin,VRCUSD,VRC
Ambrosus,AMBUSD,AMB
xSigma,SIGUSD,SIG
Thunder,TTUSD,TT
DMarket,DMTUSD,DMT
Gifto,GTOUSD,GTO
SingularDTV,SNGLSUSD,SNGLS
DFI.Money,YFIIUSD,YFII
Smooth,SLPUSD,SLP
Fantom,FTMUSD,FTM
Internxt,INXTUSD,INXT
MINDOL,MINUSD,MIN
Bitcoin,BTGUSD,BTG
Filecoin,FILUSD,FIL
BADGER,BADGERUSD,BADGER
BTCST,BTCSTUSD,BTCST
BlackCoin,BLKUSD,BLK
Hifi,MFTUSD,MFT
VeriBlock,VBKUSD,VBK
GoldenPyrex,GPYXUSD,GPYX
Rentible,RNBUSD,RNB
Nexus,NXSUSD,NXS
Pearl,PEARLUSD,PEARL
Expanse,EXPUSD,EXP
Wrapped,WBTCUSD,WBTC
Vertcoin,VTCUSD,VTC
Dragonchain,DRGNUSD,DRGN
Latam,LMCHUSD,LMCH
CHESS,CHESSUSD,CHESS
Terra,USTUSD,UST
Metacoin,MTCUSD,MTC
IOST,IOSTUSD,IOST
Status,SNTUSD,SNT
Civic,CVCUSD,CVC
Sphere,SPHRUSD,SPHR
Ravencoin,RVCUSD,RVC
Decentraland,MANAUSD,MANA
Numeraire,NMRUSD,NMR
Peercoin,PPCUSD,PPC
0x,ZRXUSD,ZRX
YFII,YFIIUSD,YFII
MIMO,MIMOUSD,MIMO
Dogecoin,DOGEUSD,DOGE
FME,FMEUSD,FME
Celer,CELRUSD,CELR
Prometeus,PROMUSD,PROM
Travala.com,AVAUSD,AVA
HARD,HARDUSD,HARD
King,KDAGUSD,KDAG
CloudCoin,CCEUSD,CCE
Dent,DENTUSD,DENT
Nervos,CKBUSD,CKB
PROM,PROMUSD,PROM
Chia,XCHUSD,XCH
Sentiment,TTCCUSD,TTCC
Maker,MKRUSD,MKR
TrueFi,TRUUSD,TRU
Swipe,SXPUSD,SXP
NavCoin,NAVUSD,NAV
dYdX,DYDXUSD,DYDX
Terra,SDTUSD,SDT
NXT,NXTUSD,NXT
PAX,PAXGUSD,PAXG
APM,APMUSD,APM
Nimiq,NIMUSD,NIM
IOST,IOSTUSD,IOST
VGX,VGXUSD,VGX
EZ,EZUSD,EZ
Ankr,ANKRUSD,ANKR
U,UUUUSD,UUU
DREP,DREPUSD,DREP
Jobchain,JOBUSD,JOB
STEEM,STEEMUSD,STEEM
SpaceChain,SPCUSD,SPC
Quantstamp,QSPUSD,QSP
Bitcoin,BTCVUSD,BTCV
TheFutbolCoin,TFCUSD,TFC
EXMO,EXMUSD,EXM
METAL,MTLUSD,MTL
FLETA,FLETAUSD,FLETA
IQONIQ,IQQUSD,IQQ
Ergo,ERGUSD,ERG
Klaytn,KLAYUSD,KLAY
OriginChainToken,OGTUSD,OGT
ATA,ATAUSD,ATA
XinFin,XDCUSD,XDC
Monolith,TKNUSD,TKN
Sibcoin,SIBUSD,SIB
VideoCoin,VIDUSD,VID
GLM,GLMUSD,GLM
Waves,WAVESUSD,WAVES
FlypMe,FYPUSD,FYP
Nuls,NULSUSD,NULS
Shopping.io,SPIUSD,SPI
RedFOX,RFOXUSD,RFOX
Mithril,MITHUSD,MITH
BNT,ETHBNTUSD,ETHBNT
0x,ZRXUSD,ZRX
SENSO,SENSOUSD,SENSO
Nexus,NXSUSD,NXS
Usechain,USEUSD,USE
Mettalex,MTLXUSD,MTLX
Teachain,TEAUSD,TEA
GeoCoin,GEOUSD,GEO
WINGS,WINGSUSD,WINGS
DeFi.ch,DFCHUSD,DFCH
MyNeighborAlice,ALICEUSD,ALICE
WaykiChain,WICCUSD,WICC
Fortuna,FOTAUSD,FOTA
StockChain,SCCUSD,SCC
BNX,BNXUSD,BNX
Appcoins,APPCUSD,APPC
PumaPay,PMAUSD,PMA
Universal,UPUSDUSD,UPUSD
VeThor,VTHOUSD,VTHO
FIDA,FIDAUSD,FIDA
Pastel,PSLUSD,PSL
XinFin,XDCUSD,XDC
Unibright,UBTUSD,UBT
Morality,MOUSD,MO
Moonriver,MOVRUSD,MOVR
VouchForMe,IPLUSD,IPL
Bounce,AUCTIONUSD,AUCTION
Celsius,CELUSD,CEL
Wings,WINGSUSD,WINGS
Keep,KEEPUSD,KEEP
GTC,GTCUSD,GTC
BitTorrent,BTTUSD,BTT
SingularityNET,AGIXUSD,AGIX
ElectrifyAsia,ELECUSD,ELEC
CyberVeinToken,CVTUSD,CVT
Stealth,XSTUSD,XST
GXChain,GXCUSD,GXC
Quant,QNTUSD,QNT
12Ships,TSHPUSD,TSHP
Akropolis,AKROUSD,AKRO
Particl,PARTUSD,PART
Neblio,NEBLUSD,NEBL
NoLimitCoin,NLC2USD,NLC2
OmiseGO,OMGUSD,OMG
MOVR,MOVRUSD,MOVR
SpaceChain,SPCUSD,SPC
POLS,POLSUSD,POLS
AKRO,AKROUSD,AKRO
Serum,SRMUSD,SRM
EPS,EPSUSD,EPS
Fetch.AI,FETUSD,FET
Basic,BATUSD,BAT
Cortex,CTXCUSD,CTXC
PotCoin,POTUSD,POT
Avalanche,AVAXUSD,AVAX
district0x,DNTUSD,DNT
Filecoin,FILUSD,FIL
Lisk,LSKUSD,LSK
Expanse,EXPUSD,EXP
STEEM,STEEMUSD,STEEM
Oxen,OXENUSD,OXEN
Callisto,CLOUSD,CLO
Kyber,KNCUSD,KNC
Connectome,CNTMUSD,CNTM
WazirX,WRXUSD,WRX
Genaro,GNXUSD,GNX
Firmachain,FCT2USD,FCT2
TVK,TVKUSD,TVK
Mask,MASKUSD,MASK
Theta,TFUELUSD,TFUEL
RAMP,RAMPUSD,RAMP
8X8,EXEUSD,EXE
SENSO,SENSOUSD,SENSO
HyperDAO,HDAOUSD,HDAO
More,MOREUSD,MORE
Golem,GLMUSD,GLM
UMA,UMAUSD,UMA
Beshare,BSTUSD,BST
SKL,SKLUSD,SKL
SUKU,SUKUUSD,SUKU
Neo,NEOUSD,NEO
WAX,WAXPUSD,WAXP
Ren,RENUSD,REN
Synthetix,SNXUSD,SNX
Reserve,RSRUSD,RSR
MANTRA,OMUSD,OM
Power,POWRUSD,POWR
NEO,NEOUSD,NEO
Bancor,BNTUSD,BNT
Bidao,BIDUSD,BID
Ariva,ARVUSD,ARV
TrigX,TRIGXUSD,TRIGX
Augur,REPUSD,REP
Wootrade,WOOUSD,WOO
PSG,PSGUSD,PSG
RSK,RIFUSD,RIF
Spectiv,SIGUSD,SIG
MBOX,MBOXUSD,MBOX
Tranchess,CHESSUSD,CHESS
Telcoin,TELUSD,TEL
Centric,CNSUSD,CNS
The,SANDUSD,SAND
Secret,SCRTUSD,SCRT
Camp,CAMPUSD,CAMP
Binance,BNBUSD,BNB
Student,STCCOINUSD,STCCOIN
Trustswap,SWAPUSD,SWAP
Loon,LOONUSD,LOON
ONEUSD,ONEUSDUSD,ONEUSD
NXT,NXTUSD,NXT
Symbol,XYMUSD,XYM
Waves,WAVESUSD,WAVES
Universal,UPXAUUSD,UPXAU
MonetaryUnit,MUEUSD,MUE
Exchange,XUCUSD,XUC
Connect,XCONUSD,XCON
Stellar,STRUSD,STR
Polymath,POLYUSD,POLY
BakeryToken,BAKEUSD,BAKE
USNOTA,USNOTAUSD,USNOTA
Syscoin,SYSUSD,SYS
Bonfida,FIDAUSD,FIDA
ECOChain,ECOCUSD,ECOC
SaluS,SLSUSD,SLS
StormX,STMXUSD,STMX
Gas,GASUSD,GAS
Adventure,AGLDUSD,AGLD
Certik,CTKUSD,CTK
Odyssey,OCNUSD,OCN
Parallel,PARUSD,PAR
Frontier,FRONTUSD,FRONT
Chainlink,LINKUSD,LINK
Ardor,ARDRUSD,ARDR
Remme,REMUSD,REM
Everex,EVXUSD,EVX
Blocknet,BLOCKUSD,BLOCK
Polybius,PLBTUSD,PLBT
STRAX,STRAXUSD,STRAX
NEAR,NEARUSD,NEAR
SwftCoin,SWFTCUSD,SWFTC
Tron,TRXUSD,TRX
IDEX,IDEXUSD,IDEX
Pivx,PIVXUSD,PIVX
Atletico,ATMUSD,ATM
HitBTC,HITUSD,HIT
Celer,CELRUSD,CELR
BTU,BTUUSD,BTU
SFP,SFPUSD,SFP
Somesing,SSXUSD,SSX
SSV,SSVUSD,SSV
Nexo,NEXOUSD,NEXO
Gas,GASUSD,GAS
Sirin,SRNUSD,SRN
Sociall,SCLUSD,SCL
Morpheus.Network,MNWUSD,MNW
Cocos-BCX,COCOSUSD,COCOS
TrueFi,TRUUSD,TRU
Super,SBTCUSD,SBTC
CRDT,CRDTUSD,CRDT
CyberVeinToken,CVTUSD,CVT
Black,BMCUSD,BMC
Civic,CVCUSD,CVC
MINA,MINAUSD,MINA
TON,TONUSD,TON
Harmony,ONEUSD,ONE
Ethereum,ETCUSD,ETC
HempCoin,THCUSD,THC
Function,FXUSD,FX
Alchemy,ACHUSD,ACH
KeeperDAO,ROOKUSD,ROOK
Terra,TVKUSD,TVK
ZKSwap,ZKSUSD,ZKS
Rupiah,IDRTUSD,IDRT
Siacoin,SCUSD,SC
BitTube,TUBEUSD,TUBE
Ethereum,ETCUSD,ETC
Quantum,QRLUSD,QRL
Holo,HOTUSD,HOT
Bitcoin,BCHUSD,BCH
BitOnyx,BTNYXUSD,BTNYX
Swingby,SWINGBYUSD,SWINGBY
Mines,DARUSD,DAR
Horizen,ZENUSD,ZEN
DeFiChain,DFIUSD,DFI
Themis,GETUSD,GET
FintruX,FTXUSD,FTX
Neutrino,USDNUSD,USDN
Akropolis,AKROUSD,AKRO
INSTAR,INSTARUSD,INSTAR
bZx,BZRXUSD,BZRX
Golem,GLMUSD,GLM
STPT,STPTUSD,STPT
QuarkChain,QKCUSD,QKC
BitShares,BTSUSD,BTS
Augur,REPUSD,REP
CFX,CFXUSD,CFX
Symbol,XYMUSD,XYM
WIKI,WIKIUSD,WIKI
Opus,OPTUSD,OPT
FunFair,FUNUSD,FUN
Polkadot,DOTUSD,DOT
Patientory,PTOYUSD,PTOY
ShareToken,SHRUSD,SHR
BNS,BNSUSD,BNS
Hshare,HSRUSD,HSR
Galaxy,GNCUSD,GNC
Huobi,HTUSD,HT
Groestlcoin,GRSUSD,GRS
Decred,DCRUSD,DCR
BigBang,BBCUSD,BBC
Fetch,FETUSD,FET
Einsteinium,EMC2USD,EMC2
Kind,KINDUSD,KIND
Tent,TENTUSD,TENT
CITY,CITYUSD,CITY
IOTA,IOTAUSD,IOTA
USDK,USDKUSD,USDK
MaidSafeCoin,MAIDUSD,MAID
BAND,BANDUSD,BAND
IOTA,IOTAUSD,IOTA
Balancer,BALUSD,BAL
Arweave,ARUSD,AR
Jigstack,STAKUSD,STAK
Mercury,MERUSD,MER
Uranus,URACUSD,URAC
HNT,HNTUSD,HNT
GoByte,GBXUSD,GBX
SUPER,SUPERUSD,SUPER
Ethereum,ETHUSD,ETH
Litecoin,LTCUSD,LTC
FunFair,FUNUSD,FUN
XRP,XRPUSD,XRP
Algorand,ALGOUSD,ALGO
Hex,HEXUSD,HEX
MeshBox,MESHUSD,MESH
LTO,LTOUSD,LTO
DODO,DODOUSD,DODO
Kava,KAVAUSD,KAVA
WRX,WRXUSD,WRX
Zilliqa,ZILUSD,ZIL
MATIC,MATICUSD,MATIC
YOYOW,YOYOUSD,YOYO
CLV,CLVUSD,CLV
Navcoin,NAVUSD,NAV
AXS,AXSUSD,AXS
Qtum,QTUMUSD,QTUM
ChainLink,LINKUSD,LINK
Tether,USDTUSD,USDT
Aragon,ANTUSD,ANT
GMD,GMDUSD,GMD
Litecoin,LTCUSD,LTC
Bitcoin,BTCUSD,BTC
Ravencoin,RVNUSD,RVN
Reserve,RSVUSD,RSV
Dai,DAIUSD,DAI
Axie,AXSUSD,AXS
Ren,RENUSD,REN
Loopring,LRCUSD,LRC
Ontology,ONTUSD,ONT
Fantom,FTMUSD,FTM
SUSHI,SUSHIUSD,SUSHI
Metal,MTLUSD,MTL
EOS,EOSUSD,EOS
Loom,LOOMUSD,LOOM
NEM,XEMUSD,XEM
Dogecoin,DOGEUSD,DOGE
CTK,CTKUSD,CTK
AAVE,AAVEUSD,AAVE
Chainlink,LINKUSD,LINK
Student,STCUSD,STC
Cardano,ADAUSD,ADA
Aave,AAVEUSD,AAVE
AUDIO,AUDIOUSD,AUDIO
SONM,SNMUSD,SNM
RLC,RLCUSD,RLC
DigiByte,DGBUSD,DGB
WAXP,WAXPUSD,WAXP
RGT,RGTUSD,RGT
Storj,STORJUSD,STORJ
CROOLD,CROOLDUSD,CROOLD
MIR,MIRUSD,MIR
Tezos,XTZUSD,XTZ
Chiliz,CHZUSD,CHZ
SmartCash,SMARTUSD,SMART
Dogecoin,DOGEUSD,DOGE
Just,JSTUSD,JST
FIRO,FIROUSD,FIRO
Ravencoin,RVNUSD,RVN
SmartCash,SMARTUSD,SMART
Okb,OKBUSD,OKB
Hedera,HBARUSD,HBAR
Solve,SOLVEUSD,SOLVE
Cosmos,ATOMUSD,ATOM
Origin,OGNUSD,OGN
Celo,CELOUSD,CELO
EOS,EOSUSD,EOS
Wrapped,WBTCUSD,WBTC
Cudos,CUDOSUSD,CUDOS
SushiSwap,SUSHIUSD,SUSHI
Synthetix,SNXUSD,SNX
MiamiCoin,MIAUSD,MIA
Brother,BMPUSD,BMP
Smooth,SLPUSD,SLP
