Description,Ticker,Ticker2
Uniswap,UNIUSD,UNI
Etherlite,ETLUSD,ETL
INJ,INJUSD,INJ
Ethereum,ETCUSD,ETC
NeuroToken,NTKUSD,NTK
CRV,CRVUSD,CRV
SAND,SANDUSD,SAND
DYDX,DYDXUSD,DYDX
AVA,AVAUSD,AVA
USGold,USGUSD,USG
SALT,SALTUSD,SALT
BoringDAO,BORUSD,BOR
TRB,TRBUSD,TRB
PERP,PERPUSD,PERP
FIS,FISUSD,FIS
Solana,SOLUSD,SOL
Orion,ORNUSD,ORN
Ethereum,ETHUSD,ETH
Cardano,ADAUSD,ADA
VeChain,VETUSD,VET
Ethereum,ETHUSD,ETH
PAX,PAXGUSD,PAXG
0x,ZRXUSD,ZRX
QNT,QNTUSD,QNT
PEAKDEFI,PEAKUSD,PEAK
Vibe,VIBEUSD,VIBE
ShipChain,SHIPUSD,SHIP
Emirex,EMRXUSD,EMRX
Litecoin,LCCUSD,LCC
Cartesi,CTSIUSD,CTSI
Band,BANDUSD,BAND
Zcash,ZECUSD,ZEC
Alien,TLMUSD,TLM
Newscrypto,NWCUSD,NWC
Ihtcoin,IHTUSD,IHT
Red,PHBUSD,PHB
Aion,AIONUSD,AION
Centrality,CENNZUSD,CENNZ
EKO,EKOUSD,EKO
Gitcoin,GTCUSD,GTC
NU,NUUSD,NU
Illuvium,ILVUSD,ILV
Inmediate,DITUSD,DIT
Mithril,MITHUSD,MITH
FLOW,FLOWUSD,FLOW
IQ.cash,IQUSD,IQ
Render,RNDRUSD,RNDR
PIVX,PIVXUSD,PIVX
Stellar,XLMUSD,XLM
Ardor,ARDRUSD,ARDR
POA,POAUSD,POA
DIA,DIAUSD,DIA
Zeus,ZSCUSD,ZSC
Loopring,LRCUSD,LRC
All,SOCUSD,SOC
ANT,ANTUSD,ANT
TNC,TNCUSD,TNC
Seele-N,SEELEUSD,SEELE
AUTO,AUTOUSD,AUTO
KLAY,KLAYUSD,KLAY
eCash,XECUSD,XEC
Verge,XVGUSD,XVG
Basic,BATUSD,BAT
Eureka,ERKUSD,ERK
yearn.finance,YFIUSD,YFI
THORChain,RUNEUSD,RUNE
SOL,SOLUSD,SOL
Yield,YGGUSD,YGG
Swarm,SWTUSD,SWT
ICP,ICPUSD,ICP
Voyager,VGXUSD,VGX
indaHash,IDHUSD,IDH
