datetime,symbol,open,high,low,close,adjusted,top_ten_marketcap,candle,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,short_ema,long_ema
2021-10-05 12:00:00,EIGHTCAP:CRYPTO10,28342.5,28377.5,28287.5,28377.5,28346,0.0029367016947952074,35.0,28683.704597493346,28381.75,28079.795402506654,53.36538461538461,37.195868945868945,28359.241594344876,28376.87566353611
2021-10-05 12:30:00,EIGHTCAP:CRYPTO10,28377.5,28407.5,28345.0,28390.0,28380,0.0011994637691385979,12.5,28675.31283770936,28393.75,28112.18716229064,56.58536585365853,51.02062052671808,28364.91796165499,28378.29967425387
2021-10-05 13:00:00,EIGHTCAP:CRYPTO10,28390.0,28592.5,28390.0,28537.5,28477,0.00341789992952779,147.5,28663.59043731097,28416.5,28169.40956268903,85.36585365853658,65.10553470919324,28396.68076504071,28395.347047867024
2021-10-05 13:30:00,EIGHTCAP:CRYPTO10,28537.5,28590.0,28505.0,28572.5,28551,0.002598588334445262,35.0,28680.347127426154,28430.0,28179.652872573846,92.19512195121952,78.04878048780488,28428.96747139198,28414.09477885629
2021-10-05 14:00:00,EIGHTCAP:CRYPTO10,28572.5,28677.5,28567.5,28640.0,28614,0.002206577703057766,67.5,28695.282662890913,28451.75,28208.217337109087,93.5064935064935,90.35582303874988,28467.650288491834,28437.751342566353
2021-10-05 14:30:00,EIGHTCAP:CRYPTO10,28640.0,28800.0,28620.0,28800.0,28715,0.0035297406863772363,160.0,28750.293923313642,28464.0,28177.706076686358,100.0,95.23387181923768,28528.48056477107,28475.329378552477
2021-10-05 15:00:00,EIGHTCAP:CRYPTO10,28800.0,29025.0,28800.0,28925.0,28887,0.00598990074873762,125.0,28826.529274844965,28479.25,28131.970725155035,89.1891891891892,94.23189423189423,28600.967976296826,28521.583137680547
2021-10-05 15:30:00,EIGHTCAP:CRYPTO10,28925.0,28955.0,28830.0,28925.0,28908,0.0007269706096166839,0.0,28903.148929843454,28503.875,28104.601070156546,89.1891891891892,92.7927927927928,28660.14537265388,28562.765224946656
2021-10-05 16:00:00,EIGHTCAP:CRYPTO10,28962.5,29035.0,28957.5,29035.0,28997,0.003078732530787276,72.5,28992.758061220306,28528.125,28063.491938779694,100.0,92.7927927927928,28728.54900084736,28610.644724925744
2021-10-05 16:30:00,EIGHTCAP:CRYPTO10,29035.0,29095.0,28970.0,29095.0,29048,0.0017588026347552521,60.0,29087.30759886786,28559.375,28031.44240113214,100.0,96.39639639639638,28795.37487712162,28659.45288904683
2021-10-05 17:00:00,EIGHTCAP:CRYPTO10,29055.0,29087.5,28922.5,28945.0,29002,-0.0015835857890388327,-110.0,29136.290599988373,28584.625,28032.959400011627,83.51648351648352,94.5054945054945,28822.64569598928,28688.069001679592
2021-10-05 17:30:00,EIGHTCAP:CRYPTO10,28927.5,28960.0,28870.0,28882.5,28910,-0.003172195021033053,-45.0,29169.050716317037,28602.625,28036.199283682963,76.64835164835165,86.72161172161172,28833.54997083194,28707.457415348992
2021-10-05 18:00:00,EIGHTCAP:CRYPTO10,28882.5,28985.0,28882.5,28952.5,28925,0.0005188516084400074,70.0,29209.951345407037,28628.0,28046.048654592963,84.34065934065934,81.5018315018315,28855.212478088215,28731.783754883265
2021-10-05 18:30:00,EIGHTCAP:CRYPTO10,28952.5,29020.0,28935.0,28967.5,28968,0.001486603284356125,15.0,29248.34252618273,28647.875,28047.40747381727,84.21052631578947,81.73317910160016,28875.655592563395,28755.090171308584
2021-10-05 19:00:00,EIGHTCAP:CRYPTO10,28967.5,28995.0,28837.5,28882.5,28920,-0.001657000828500399,-85.0,29269.522399919293,28671.75,28073.977600080707,71.66666666666667,80.07261744103849,28876.901386530695,28767.642154445526
2021-10-05 19:30:00,EIGHTCAP:CRYPTO10,28882.5,28935.0,28842.5,28877.5,28884,-0.0012448132780082943,-5.0,29277.754707884087,28700.875,28123.995292115913,69.14893617021278,75.0087097175563,28877.010322375223,28778.429609157207
2021-10-05 20:00:00,EIGHTCAP:CRYPTO10,28877.5,28877.5,28627.5,28652.5,28758,-0.004362276692978839,-225.0,29274.87991225926,28712.375,28149.87008774074,25.0,55.27186761229316,28836.160493413186,28766.10044502386
2021-10-05 20:30:00,EIGHTCAP:CRYPTO10,28652.5,28770.0,28602.5,28770.0,28698,-0.0020863759649488722,117.5,29259.086591949264,28737.75,28216.413408050736,38.388625592417064,44.17918725420995,28824.12413586478,28766.481216192846
2021-10-05 21:00:00,EIGHTCAP:CRYPTO10,28770.0,28777.5,28670.0,28710.0,28731,0.0011499059167885406,-60.0,29216.470993545456,28764.0,28311.529006454544,21.82741116751269,28.40534558664325,28803.36416506497,28760.979361738126
2021-10-05 21:30:00,EIGHTCAP:CRYPTO10,28710.0,28835.0,28710.0,28815.0,28767,0.0012530019839198658,105.0,29194.472556476056,28787.625,28380.777443523944,43.14720812182741,34.45441496058572,28805.480616211913,28766.230124520534
2021-10-05 22:00:00,EIGHTCAP:CRYPTO10,28815.0,28815.0,28622.5,28685.0,28734,-0.0011471477734904534,-130.0,29165.402800035674,28803.0,28440.597199964326,16.751269035532996,27.2419627749577,28783.56789331508,28758.35007505826
2021-10-05 22:30:00,EIGHTCAP:CRYPTO10,28685.0,28767.5,28615.0,28702.5,28692,-0.0014616830235957279,17.5,29129.309621779932,28818.625,28507.940378220068,20.304568527918782,26.73434856175973,28768.82433681288,28752.94169514242
2021-10-05 23:00:00,EIGHTCAP:CRYPTO10,28702.5,28725.0,28552.5,28610.0,28647,-0.0015683814303638632,-92.5,29120.569415533457,28822.25,28523.930584466543,10.599078341013826,15.8849719681552,28739.9408701219,28739.121686520793
