0,btcusd
1,btcgusd
7,ethusd
8,ethgusd
13,bchusd
16,ltcusd
20,zecusd
25,batusd
28,linkusd
31,daiusd
32,oxtusd
35,filusd
36,ampusd
37,paxgusd
38,compusd
39,mkrusd
40,zrxusd
41,kncusd
42,storjusd
43,manausd
44,aaveusd
45,snxusd
46,yfiusd
47,umausd
48,balusd
49,crvusd
50,renusd
51,uniusd
52,enjusd
53,bntusd
54,1inchusd
55,sklusd
56,grtusd
57,lrcusd
58,sandusd
59,cubeusd
60,bondusd
61,sushiusd
62,dogeusd
63,mirusd
64,ctxusd
65,alcxusd
66,ankrusd
67,ftmusd
68,xtzusd
69,axsusd
70,usdcusd
71,slpusd
72,lunausd
73,ustusd
74,mco2usd
75,gusdusd
