,Tweets
0,"['1', '125', 'BTC', '40', '300', '193', 'USD', 'transferred', 'from', 'unknown', 'wallet', 'to', 'Coinbase', 'https', 't', 'co', 'EVd7xMdeX9']"
1,"['7', '600', 'ETH', '19', '120', '867', 'USD', 'transferred', 'from', 'unknown', 'wallet', 'to', 'Binance', 'https', 't', 'co', 'cD8py0IssC']"
2,"['19', '999', '965', 'USDT', '19', '999', '965', 'USD', 'transferred', 'from', 'Huobi', 'to', 'unknown', 'wallet', 'https', 't', 'co', 'mZaNdRCuo7']"
3,"['49', '999', '971', 'USDT', '49', '999', '971', 'USD', 'transferred', 'from', 'Huobi', 'to', 'unknown', 'wallet', 'https', 't', 'co', 'yz5j7ociXX']"
4,"['72', '015', '667', 'BUSD', '72', '015', '667', 'USD', 'burned', 'at', 'Binance', 'https', 't', 'co', 'd6cb1fpqum']"
5,"['1', '016', 'BTC', '35', '886', '052', 'USD', 'transferred', 'from', 'unknown', 'wallet', 'to', 'Coinbase', 'https', 't', 'co', 'idp3Tr4aYO']"
6,"['25', '000', '000', 'USDT', '25', '000', '000', 'USD', 'transferred', 'from', 'Binance', 'to', 'CryptoCom', 'https', 't', 'co', 'gyppop7WwY']"
7,"['20', '000', 'ETH', '50', '303', '751', 'USD', 'transferred', 'from', 'unknown', 'wallet', 'to', 'Wrapped', 'Ether', 'https', 't', 'co', 'N9T0KxV42Q']"
8,"['20', '000', 'ETH', '50', '427', '300', 'USD', 'transferred', 'from', 'unknown', 'wallet', 'to', 'unknown', 'wallet', 'https', 't', 'co', 'Lx4DDpx4lO']"
