,Tweets
0,"['Buyer', 'l', 'p', 'l', 'Wallet', 'Balance', '2', '249', '65', 'Seller', 'PsyRen', 'Wallet', 'Balance', '75', '083', '61', 'HODL', 'duration', '20', 'weeks', '3', 'days', '14', 'hours', 'Loss', '2', '21', '5', '440', '95']"
1,"['Adam', 'Bomb', 'Squad', '18755', 'bought', 'for', '3', '29', '8', '095', '24', 'Avg', 'Price', '0', '45', 'Rare', 'Traits', 'Sticker', 'Red', '0', '85', 'Character', 'Gross', 'Out', 'Adam', '0', '84', 'Colorway', 'Gross', 'Out', 'Black', '0', '15', 'Background', 'Colorway', 'White', '0', '93', 'https', 't', 'co', 'RPR3gUypmS', 'https', 't', 'co', 'WAPNFvSDn7']"
2,"['Buyer', 'qversefund', 'Wallet', 'Balance', '1', '561', '95', 'Seller', 'Tunabear', '82', 'Wallet', 'Balance', '17', '958', '89', 'HODL', 'duration', '1', 'week', '7', 'hours', 'Profit', '5', '5', '13', '514', '82']"
3,"['Lil', 'Heroes', '4496', 'bought', 'for', '5', '5', '13', '514', '82', 'Avg', 'Price', '1', '99', 'Rare', 'Trait', 'Skin', 'alien', '0', '66', 'https', 't', 'co', 'lqNzQbMkfA', 'https', 't', 'co', '7x6GGSUPlS']"
4,"['Hourly', 'Top', 'Mints', 'MEV', 'Army', '1373', 'DoodleDoge', '670', 'Lucky', 'Foo', 'Dogs', 'Official', '572', 'The', 'Alien', 'Doogle', '275', 'pxMAYCpastel', '220', 'Salty', 'Pirate', 'Crew', '119', 'MetaHouse', 'Collection', '109', 'Official', 'Surreal', 'Society', '63', 'STAXX', 'Invaders', '56', 'TheMetaStars', '54']"
5,"['Kaiju', 'Kingz', '1685', 'bought', 'for', '4', '5', '11', '051', '59', 'Avg', 'Price', '1', '48', 'Rare', 'Trait', 'Hat', 'Blue', 'Crown', '0', '24', 'https', 't', 'co', 'ANjN3wJFF4', 'https', 't', 'co', 'hO3j70XmdR']"
6,"['Buyer', '0xCBEDf', 'Wallet', 'Balance', '988', '77', 'Seller', 'abustate', 'Wallet', 'Balance', '3', '530', '94', 'HODL', 'duration', '9', 'weeks', '22', 'hours', 'Profit', '1', '6', '3', '930', '24']"
7,"['Bricktopians', '4362', 'bought', 'for', '1', '6', '3', '929', '66', 'Avg', 'Price', '0', '29', 'Rare', 'Trait', 'Hair', 'Rainbow', 'Hijack', '0', '1', 'https', 't', 'co', 'Il2gTKjlPq']"
8,"['Buyer', 'larryp', 'vault', 'Wallet', 'Balance', '233', '609', '70', 'Seller', '0xc6334', 'Wallet', 'Balance', '129', '474', '30', 'HODL', 'duration', '14', 'weeks', '1', 'day', '21', 'hours', 'Profit', '4', '44', '10', '892', '34']"
