,Tweets
0,"['Bitcoin', '41781', '73', '49', '86', 'last', '1', 'Hour', '0', '12', '496', '7', 'last', '5', 'Hours', '1', '17', '350', '38', 'last', '24', 'Hours', '0', '83', 'BitcoinPriceUpdates', 'Bitcoin', 'HourlyCrypto', 'CryptoUpdates', 'Crypto', 'Powered', 'By', 'CryptoCompare', 'API']"
1,"['Bitcoin', '41731', '87', '8', '46', 'last', '1', 'Hour', '0', '02', '640', '88', 'last', '5', 'Hours', '1', '51', '333', '86', 'last', '24', 'Hours', '0', '79', 'BitcoinPriceUpdates', 'Bitcoin', 'HourlyCrypto', 'CryptoUpdates', 'Crypto', 'Powered', 'By', 'CryptoCompare', 'API']"
2,"['Bitcoin', '41723', '41', '626', '19', 'last', '1', 'Hour', '1', '48', '776', '62', 'last', '5', 'Hours', '1', '83', '335', '25', 'last', '24', 'Hours', '0', '8', 'BitcoinPriceUpdates', 'Bitcoin', 'HourlyCrypto', 'CryptoUpdates', 'Crypto', 'Powered', 'By', 'CryptoCompare', 'API']"
3,"['Bitcoin', '42349', '6', '104', '73', 'last', '1', 'Hour', '0', '25', '44', '85', 'last', '5', 'Hours', '0', '11', '54', '25', 'last', '24', 'Hours', '0', '13', 'BitcoinPriceUpdates', 'Bitcoin', 'HourlyCrypto', 'CryptoUpdates', 'Crypto', 'Powered', 'By', 'CryptoCompare', 'API']"
4,"['Bitcoin', '42454', '33', '175', '9', 'last', '1', 'Hour', '0', '42', '664', '82', 'last', '5', 'Hours', '1', '59', '171', '26', 'last', '24', 'Hours', '0', '41', 'BitcoinPriceUpdates', 'Bitcoin', 'HourlyCrypto', 'CryptoUpdates', 'Crypto', 'Powered', 'By', 'CryptoCompare', 'API']"
5,"['Bitcoin', '42278', '43', '94', '32', 'last', '1', 'Hour', '0', '22', '566', '07', 'last', '5', 'Hours', '1', '36', '107', '66', 'last', '24', 'Hours', '0', '25', 'BitcoinPriceUpdates', 'Bitcoin', 'HourlyCrypto', 'CryptoUpdates', 'Crypto', 'Powered', 'By', 'CryptoCompare', 'API']"
6,"['Bitcoin', '42372', '75', '127', '28', 'last', '1', 'Hour', '0', '3', '743', '65', 'last', '5', 'Hours', '1', '79', '148', '37', 'last', '24', 'Hours', '0', '35', 'BitcoinPriceUpdates', 'Bitcoin', 'HourlyCrypto', 'CryptoUpdates', 'Crypto', 'Powered', 'By', 'CryptoCompare', 'API']"
7,"['Bitcoin', '42500', '03', '105', '58', 'last', '1', 'Hour', '0', '25', '994', '52', 'last', '5', 'Hours', '2', '4', '400', '52', 'last', '24', 'Hours', '0', '95', 'BitcoinPriceUpdates', 'Bitcoin', 'HourlyCrypto', 'CryptoUpdates', 'Crypto', 'Powered', 'By', 'CryptoCompare', 'API']"
8,"['Bitcoin', '42394', '45', '604', '94', 'last', '1', 'Hour', '1', '45', '670', '5', 'last', '5', 'Hours', '1', '61', '648', '6', 'last', '24', 'Hours', '1', '55', 'BitcoinPriceUpdates', 'Bitcoin', 'HourlyCrypto', 'CryptoUpdates', 'Crypto', 'Powered', 'By', 'CryptoCompare', 'API']"
