datetime,open,high,low,close,volume,candle,bb_upper,bb_middle,bb_lower,returns,stoch_k,stoch_d,short_ema,long_ema,short_vama,long_vama,ticker,trading,trend_cnt,dtrend_cnt,profit
2020-12-06 08:00:00,5.126,5.205,5.122,5.201,13728.30111,0.07499999999999929,5.309829569604162,5.17485,5.039870430395839,0.01482926829268294,51.38888888888874,33.17901234567896,5.184759019030691,5.201982026232321,5.2058603014589915,5.180348249053226,ATOMUSD,SELL,0.0,0.0,0.0
2020-12-06 10:00:00,5.206,5.234,5.17,5.201,18413.90105,-0.005000000000000782,5.300631917854294,5.1833,5.065968082145706,0.0,51.38888888888874,39.660493827160415,5.187712889343964,5.201886760894128,5.205305750068078,5.192134380702827,ATOMUSD,SELL,0.0,0.0,0.0
2020-12-06 12:00:00,5.192,5.211,5.164,5.196,17365.30109,0.0039999999999995595,5.292107017302467,5.1901,5.088092982697534,-0.000961353585848812,49.07407407407397,50.61728395061715,5.18922003945236,5.201316701868138,5.19537424021389,5.20159049970084,ATOMUSD,SELL,0.0,0.0,0.0
2020-12-06 14:00:00,5.195,5.205,5.172,5.201,16710.50101,0.005999999999999339,5.290725631665432,5.19415,5.097574368334567,0.0009622786759044821,54.67980295566483,51.714255306209175,5.1913623188090785,5.201286082233022,5.191006848039136,5.20550896991581,ATOMUSD,SELL,1.0,0.0,0.0
2020-12-06 16:00:00,5.195,5.232,5.14,5.217,24131.90111,0.021999999999999353,5.288739487768402,5.19925,5.109760512231598,0.0030763314747164205,63.49999999999984,55.75129234324621,5.1960245493318995,5.202803156603379,5.192214110291542,5.208111476000666,ATOMUSD,SELL,2.0,0.0,0.0
2020-12-06 18:00:00,5.217,5.227,5.16,5.185,21581.40106,-0.03200000000000003,5.28877773183163,5.1994,5.11002226816837,-0.006133793367835927,47.49999999999983,55.2266009852215,5.194019792421144,5.201086620631008,5.189658223532673,5.2073706866162315,ATOMUSD,SELL,0.0,0.0,0.0
2020-12-06 20:00:00,5.187,5.187,5.142,5.156,8311.301,-0.031000000000000583,5.288922797025151,5.199249999999999,5.109577202974847,-0.005593056894889092,32.99999999999989,47.99999999999986,5.187106275060046,5.196744602107711,5.186368709457706,5.207148318390845,ATOMUSD,SELL,0.0,1.0,0.0
2020-12-06 22:00:00,5.156,5.178,5.141,5.171,12888.10092,0.015000000000000568,5.286046308722584,5.2013,5.116553691277415,0.002909231962761938,46.55172413793117,42.35057471264363,5.184177574488757,5.194267935586428,5.1880690588033636,5.21019983240152,ATOMUSD,SELL,0.0,0.0,0.0
2020-12-07 00:00:00,5.171,5.221,5.154,5.209,5973.60081,0.03799999999999937,5.2869035585904385,5.2029499999999995,5.118996441409561,0.007348675304583052,82.63888888888866,54.063537675606575,5.188691104554796,5.195683816756664,5.190006544878071,5.211615364872421,ATOMUSD,SELL,1.0,0.0,0.0
2020-12-07 02:00:00,5.21,5.21,5.162,5.168,9882.80078,-0.041999999999999815,5.273754901803729,5.1972499999999995,5.12074509819627,-0.007870992512958197,54.16666666666682,61.11909323116222,5.184928838803995,5.193025472747254,5.193480783729975,5.203785098329283,ATOMUSD,SELL,0.0,0.0,0.0
2020-12-07 04:00:00,5.164,5.18,5.12,5.121,44360.70086,-0.04299999999999926,5.268284587956813,5.1903500000000005,5.1124154120431875,-0.009094427244581982,21.527777777778162,52.777777777777885,5.173304789833764,5.18611465193546,5.176700397456878,5.187187719322813,ATOMUSD,SELL,0.0,1.0,0.0
2020-12-07 06:00:00,5.124,5.215,5.12,5.201,13005.60092,0.07699999999999996,5.2679466986175365,5.19015,5.112353301382464,0.015621948838117294,77.0833333333331,50.92592592592603,5.178340503672687,5.187541880677975,5.1759252349263125,5.186651530408894,ATOMUSD,SELL,0.0,0.0,0.0
2020-12-07 08:00:00,5.201,5.214,5.173,5.174,10814.201,-0.026999999999999247,5.255462606311456,5.185650000000001,5.115837393688546,-0.005191309363583807,58.333333333333634,52.31481481481496,5.177551292837983,5.186244300338577,5.173650853245035,5.181416520275442,ATOMUSD,SELL,0.0,0.0,0.0
2020-12-07 10:00:00,5.179,5.192,5.16,5.168,12332.70108,-0.01100000000000012,5.243023354841868,5.18125,5.119476645158133,-0.0011596443757247998,42.10526315789482,59.17397660818719,5.175814643101058,5.184497151403646,5.170334470543973,5.178190372239841,ATOMUSD,SELL,0.0,1.0,0.0
2020-12-07 12:00:00,5.166,5.166,5.08,5.085,18619.70115,-0.0810000000000004,5.247371885838002,5.1746,5.101828114161997,-0.016060371517027883,3.2467532467531792,34.56178324599387,5.1593024927607605,5.174973905850445,5.152310659929194,5.168867410897892,ATOMUSD,SELL,0.0,2.0,0.0
