datetime,open,high,low,close,volume,candle,bb_upper,bb_middle,bb_lower,returns,stoch_k,stoch_d,short_ema,long_ema,short_vama,long_vama,ticker,anomoly,trading,trend_cnt,dtrend_cnt,profit
2021-05-08 05:00:00,1.0013,1.0016,1.0009,1.0015,1214697.1812,0.00019999999999997797,1.001684777289781,1.0010350000000001,1.0003852227102192,0.000199740337561094,76.92307692308087,72.69984917044128,1.0012573118208856,1.0011480600014364,1.0012679960492936,1.0010075995030472,USDTUSD,1,HOLD,2.0,0.0,0.0
2021-05-08 07:00:00,1.0015,1.0017,1.0012,1.0015,1929181.5112,0.0,1.001715037592863,1.0010850000000002,1.0004549624071375,0.0,76.92307692308087,74.81146304676108,1.001301437654647,1.0011817150069593,1.001306194234784,1.0010801218645624,USDTUSD,1,HOLD,3.0,0.0,0.0
2021-05-08 09:00:00,1.0014,1.0021,1.0011,1.002,2356775.0012,0.0005999999999999339,1.0018838166157686,1.00114,1.0003961833842312,0.0004992511233150587,93.75000000000087,82.53205128205421,1.0014284506629438,1.001259934808535,1.0014443650386249,1.0011459721078806,USDTUSD,1,SELL,4.0,0.0,0.0007919999999999128
2021-05-08 11:00:00,1.0021,1.0021,1.0013,1.0017,3876374.3812,-0.00039999999999995595,1.001943657747256,1.00119,1.000436342252744,-0.0002994011976047428,66.66666666667284,79.11324786325152,1.0014778238017048,1.0013019858126122,1.0015160134302903,1.0012155334624224,USDTUSD,1,SELL,0.0,0.0,0.0007919999999999128
2021-05-08 13:00:00,1.0016,1.002,1.0014,1.0015,3510874.3411999997,-9.999999999998899e-05,1.0019466326669217,1.0012349999999999,1.000523367333078,-0.00019966057701903406,50.00000000000925,70.13888888889431,1.0014818558733067,1.0013209012977762,1.0015546615531763,1.0012771679104315,USDTUSD,1,SELL,0.0,1.0,0.0007919999999999128
2021-05-08 15:00:00,1.0015,1.0022,1.001,1.0016,3173029.3812,9.999999999998899e-05,1.0019734946219128,1.0012750000000001,1.0005765053780875,9.985022466296734e-05,53.84615384616173,56.8376068376146,1.0015033367785648,1.0013475547836634,1.0015721102400397,1.0013298308424943,USDTUSD,1,BUY,0.0,0.0,0.0007919999999999128
2021-05-08 17:00:00,1.0016,1.0019,1.0014,1.0016,3126321.8411999997,0.0,1.001977267069005,1.00132,1.000662732930995,0.0,53.84615384616173,52.5641025641109,1.0015209120134616,1.001371656629308,1.0015883378254948,1.0013685270149029,USDTUSD,1,HOLD,1.0,0.0,0.0007919999999999128
2021-05-08 19:00:00,1.0016,1.0023,1.0015,1.0017,2770652.2611999996,9.999999999998899e-05,1.001958546327028,1.0013750000000001,1.0007914536729723,9.9840255590955e-05,57.142857142863946,54.94505494506247,1.001553473622793,1.001402997362685,1.0016207063536975,1.0014208302293492,USDTUSD,1,HOLD,2.0,0.0,0.0007919999999999128
2021-05-08 21:00:00,1.0017,1.0021,1.0011,1.0013,2433974.6512,-0.00039999999999995595,1.0018683724066257,1.00141,1.000951627593374,-0.0003993211540380681,28.5714285714399,46.52014652015519,1.0015073873274785,1.0013931682454873,1.001603573038956,1.001432474052964,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-08 23:00:00,1.0012,1.0017,1.0009,1.0012,4289584.5312,0.0,1.001868372406626,1.0014100000000001,1.0009516275933743,-9.9870168780547e-05,21.42857142858389,35.71428571429591,1.0014514985418217,1.0013747376029323,1.001566030682436,1.0014248635877598,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-09 01:00:00,1.0012,1.002,1.0007,1.0008,1823996.4512,-0.000400000000000178,1.0019172247249923,1.0013850000000002,1.000852775275008,-0.00039952057530978635,6.249999999999132,18.750000000007642,1.0013330439482047,1.0013199100745835,1.001530654262414,1.001413236640582,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-09 03:00:00,1.0009,1.0009,1.0007,1.0008,1655976.2012,-9.999999999998899e-05,1.0019535754434479,1.001365,1.0007764245565522,0.0,6.249999999999132,11.309523809527384,1.001236126656993,1.0012703206780924,1.0014988915886371,1.001401768283182,USDTUSD,1,HOLD,0.0,1.0,0.0007919999999999128
2021-05-09 05:00:00,1.0007,1.0008,1.0,1.0,1458270.2412,-0.0006999999999999229,1.0021522245709862,1.001305,1.0004577754290136,-0.0007993605115906854,0.0,4.166666666666088,1.0010113759578072,1.0011491738573965,1.001383818588465,1.0013627644060743,USDTUSD,1,HOLD,0.0,2.0,0.0007919999999999128
2021-05-09 07:00:00,1.0001,1.001,0.9997,1.0007,3739311.2612000005,0.0005999999999999339,1.0021575750524225,1.00127,1.0003824249475777,0.0006999999999999229,38.46153846153518,14.90384615384477,1.0009547620652879,1.0011063429677143,1.0012474171624592,1.0012956793529657,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-09 09:00:00,1.0007,1.001,1.0004,1.0008,2565068.2312000003,9.999999999998899e-05,1.0021645400804216,1.001255,1.0003454599195785,9.993004896569069e-05,42.3076923076887,26.92307692307462,1.0009266234746133,1.0010771351000791,1.001165172822269,1.001271589821287,USDTUSD,0,HOLD,1.0,0.0,0.0007919999999999128
2021-05-09 11:00:00,1.0007,1.0014,1.0004,1.0011,2761310.3212,0.000400000000000178,1.002149366465414,1.00124,1.0003306335345858,0.00029976019184663194,53.84615384615778,44.87179487179389,1.000958146509797,1.0010793148937456,1.001094457139032,1.0012561996461196,USDTUSD,1,HOLD,2.0,0.0,0.0007919999999999128
2021-05-09 13:00:00,1.0011,1.0018,1.0008,1.0013,5460595.8612,0.00019999999999997797,1.0021493664654142,1.0012400000000001,1.000330633534586,0.00019978024173417097,61.53846153846483,52.56410256410377,1.0010203017391475,1.0011003515941583,1.0010665001286418,1.001260256189427,USDTUSD,1,HOLD,3.0,0.0,0.0007919999999999128
2021-05-09 15:00:00,1.0012,1.0019,1.0011,1.0014,4133156.3411999997,0.00019999999999997797,1.0021645400804216,1.001255,1.0003454599195785,9.987016878065802e-05,65.38461538461834,60.25641025641365,1.0010893378313892,1.0011289129644696,1.0010419802440638,1.0012738547890168,USDTUSD,1,HOLD,4.0,0.0,0.0007919999999999128
2021-05-09 17:00:00,1.0013,1.0016,1.0007,1.001,3765119.5612,-0.000300000000000189,1.002156285407156,1.00124,1.0003237145928439,-0.00039944078290410356,49.99999999999573,58.97435897435963,1.0010730945806912,1.0011166264212785,1.0010152276914515,1.0012562315076001,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-09 19:00:00,1.001,1.0015,1.0009,1.0012,2797614.4211999997,0.00020000000000020002,1.0021509981613395,1.0012349999999999,1.0003190018386603,0.0001998001998004817,57.6923076923113,57.692307692308454,1.0010961683033195,1.0011245720971187,1.0010051341088362,1.0012529383923692,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-09 21:00:00,1.0011,1.0014,1.0007,1.0011,2535482.5412,0.0,1.0021240770333861,1.001215,1.0003059229666138,-9.988014382744659e-05,53.84615384615778,53.84615384615494,1.0010968649756908,1.0011222304748826,1.0010245357130183,1.0012427141970022,USDTUSD,1,HOLD,1.0,0.0,0.0007919999999999128
2021-05-09 23:00:00,1.0012,1.0016,1.001,1.0011,3045856.3811999997,-9.999999999998899e-05,1.0020952338877371,1.001195,1.000294766112263,0.0,58.33333333333719,56.62393162393542,1.0010974349802764,1.001120112122482,1.0010427052350002,1.0012288123045627,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-10 01:00:00,1.001,1.0016,1.001,1.0011,1710997.9311999998,0.00010000000000021103,1.0019669262029407,1.00115,1.0003330737970593,0.0,60.869565217395085,57.68301746563002,1.0010979013476098,1.0011181957292479,1.0010946475870481,1.0011966057788997,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-10 03:00:00,1.001,1.0019,1.0009,1.0013,1996124.7412,0.000300000000000189,1.0019089331435393,1.00113,1.0003510668564608,0.00019978024173417097,69.56521739130729,62.92270531401319,1.001134646564291,1.0011355182155464,1.001158810256326,1.0011684542956496,USDTUSD,1,HOLD,1.0,0.0,0.0007919999999999128
2021-05-10 05:00:00,1.0013,1.0017,1.0009,1.0013,4031476.2312,0.0,1.0018839233910328,1.00112,1.0003560766089672,0.0,72.72727272727548,67.72068511199262,1.0011647108301192,1.0011511895268195,1.001207599288562,1.00115796677505,USDTUSD,1,HOLD,2.0,0.0,0.0007919999999999128
2021-05-10 07:00:00,1.0013,1.0018,1.0012,1.0018,3666405.3912,0.0004999999999999449,1.0019249842765732,1.00113,1.000335015723427,0.000499350843902846,95.45454545454591,79.24901185770956,1.001280217966973,1.0012130037670846,1.0012795543319815,1.0011716405335065,USDTUSD,1,HOLD,3.0,0.0,0.0007919999999999128
2021-05-10 09:00:00,1.0018,1.0018,1.0008,1.0017,5499675.8012,-9.999999999998899e-05,1.0019435724912975,1.001135,1.0003264275087027,-9.982032341782077e-05,90.90909090909183,86.36363636363774,1.0013565419811186,1.0012593998212669,1.0013426661742322,1.0011929026627606,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-10 11:00:00,1.0017,1.0021,1.001,1.0014,8528081.6612,-0.00029999999999996696,1.0018948684098798,1.0011199999999998,1.0003451315901197,-0.0002994908655286066,58.82352941177008,81.72905525846927,1.0013644434397866,1.0012727943528517,1.0013472485269979,1.0011943307872602,USDTUSD,1,HOLD,0.0,1.0,0.0007919999999999128
2021-05-10 13:00:00,1.0014,1.0019,1.0001,1.0006,9844669.3612,-0.0008000000000001339,1.001888348256394,1.0010850000000002,1.0002816517436064,-0.0007988815658079851,24.999999999997225,58.24420677361971,1.001225453713538,1.0012087012168498,1.0012448012710082,1.0011300630342084,USDTUSD,1,HOLD,0.0,2.0,0.0007919999999999128
2021-05-10 15:00:00,1.0006,1.0021,1.0,1.0013,22970915.1712,0.000700000000000145,1.00189759552148,1.00109,1.0002824044785201,0.0006995802518490191,61.904761904765934,48.57609710551108,1.0012390075845956,1.0012173984855517,1.0012607325847114,1.0011552756380109,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
